Date	P	E	Q	Tmax	Tmin
1960-01-01	0	0.67	1.8907	1.7667	-7.25
1960-01-02	14.53	0.68	1.821	6.0778	-3.1667
1960-01-03	7.51	0.683	2.7863	9.3833	0.2667
1960-01-04	0.29	0.687	3.254	4.5056	-3.6389
1960-01-05	17.23	0.692	2.6072	3.9889	-1.3778
1960-01-06	7.68	0.697	3.3535	4.3167	-0.5667
1960-01-07	4.03	0.702	3.4331	7.3889	0.85
1960-01-08	0.01	0.708	3.045	10.9	-2.6556
1960-01-09	0	0.714	2.6868	14.6222	-4.7111
1960-01-10	0.01	0.721	2.4479	16.2944	-0.8389
1960-01-11	0.02	0.728	2.3086	17.4278	3.5778
1960-01-12	0.06	0.735	2.1892	14.1167	3.8611
1960-01-13	1.65	0.744	2.0897	20.1167	6.1611
1960-01-14	0.24	0.752	2.0201	17.0222	5.2056
1960-01-15	5	0.761	1.9902	17.3833	7.8222
1960-01-16	0.1	0.77	1.9802	11.15	0.3444
1960-01-17	9.15	0.78	1.8608	8.5389	-0.8222
1960-01-18	3.43	0.79	2.0698	11.3722	1.8611
1960-01-19	0.07	0.801	2.1892	4.8111	-4.1444
1960-01-20	0.18	0.812	1.9504	1.0889	-8.0778
1960-01-21	0.2	0.823	1.8409	0.6389	-9.4667
1960-01-22	0.12	0.835	1.7514	-3.0722	-9.6778
1960-01-23	0.02	0.848	1.632	1.2278	-12.6333
1960-01-24	0	0.86	1.632	0.8222	-10.3444
1960-01-25	0	0.873	1.5822	5.8944	-11.8167
1960-01-26	0	0.887	1.5623	13.95	-7.9778
1960-01-27	9.1	0.901	1.5822	10.1944	-1.5167
1960-01-28	0.27	0.915	1.7812	12.3667	1.2778
1960-01-29	18.6	0.93	1.7414	9.3611	2.7278
1960-01-30	18.74	0.945	2.8261	7.3389	3.7667
1960-01-31	13.33	0.961	5.493	11.3	2.9833
1960-02-01	0.11	0.976	5.2342	14.8	-1.5111
1960-02-02	0.04	0.993	3.5923	15.9556	-1.45
1960-02-03	0.17	1.009	2.9753	9.7667	-1.2889
1960-02-04	8.16	1.026	2.647	4.1389	-0.9611
1960-02-05	51.28	1.044	5.7616	8.0944	0.8167
1960-02-06	0.4	1.061	8.9758	9.6889	1.8556
1960-02-07	0.03	1.079	7.4334	6.4333	-2.8111
1960-02-08	0.01	1.098	5.1745	11.6056	-8.3056
1960-02-09	0.4	1.116	3.7217	13.0667	-1.7444
1960-02-10	39.61	1.135	3.8311	13.1556	6.0389
1960-02-11	0.05	1.155	6.5876	10.7444	0.3833
1960-02-12	0.05	1.174	6.1497	9.3222	-5.4444
1960-02-13	32.47	1.194	5.1745	5.0444	-3.5778
1960-02-14	0.17	1.215	4.259	-1.1222	-8.4556
1960-02-15	0.35	1.235	3.662	5.3333	-13.2
1960-02-16	0.29	1.256	3.3734	8.2444	-7.7611
1960-02-17	0.01	1.277	3.4231	11.4667	-3.5778
1960-02-18	26.49	1.299	5.0352	7.4889	-1.6056
1960-02-19	0.05	1.321	6.1895	1.9	-7.0722
1960-02-20	0.12	1.343	4.5576	5.4056	-9.4833
1960-02-21	4.46	1.365	3.7416	4.1944	-3.3611
1960-02-22	0.34	1.387	3.5525	5.6611	-1.6333
1960-02-23	0.06	1.41	3.2639	9.3833	-7.65
1960-02-24	3.36	1.433	3.0848	11.7056	-5.4722
1960-02-25	9.17	1.457	3.4032	8.9944	0.4
1960-02-26	0.18	1.48	3.8709	5.2389	-3.1611
1960-02-27	0.37	1.504	3.453	4.8556	-6.8944
1960-02-28	0.19	1.528	3.1644	10.0278	-2.2278
1960-02-29	0.03	1.552	3.045	8.35	-2.4389
1960-03-01	0.01	1.576	2.8957	4.7333	-7.7944
1960-03-02	54.6	1.601	2.846	1.2167	-6.7556
1960-03-03	4.7	1.626	3.0649	1.5944	-6.8222
1960-03-04	0.38	1.651	2.9853	-2.1222	-10.7056
1960-03-05	0	1.676	2.4877	-4.6389	-15.3389
1960-03-06	0.01	1.701	2.3882	-0.7611	-14.5222
1960-03-07	0.87	1.726	2.3584	0.9389	-10.9667
1960-03-08	0.05	1.752	2.3982	1.9778	-11.6
1960-03-09	19.1	1.778	2.4579	-0.2222	-8.1389
1960-03-10	0.1	1.803	2.4579	4.55	-7.8333
1960-03-11	6.24	1.829	2.4579	2.3889	-4.9556
1960-03-12	0.23	1.856	2.3982	-0.0278	-7.4444
1960-03-13	0	1.882	2.3285	4.95	-11.5167
1960-03-14	0.29	1.908	2.3584	6.8222	-11.65
1960-03-15	1.15	1.935	2.4479	3.85	-3.2444
1960-03-16	17.74	1.961	2.6271	2.5167	-1.8611
1960-03-17	0.07	1.988	3.0848	11.3056	-1.8667
1960-03-18	0.08	2.014	3.9008	7.2667	-2.5333
1960-03-19	0.64	2.041	3.3435	5.6222	-7.5111
1960-03-20	0.54	2.068	3.0848	3.6556	-4.4278
1960-03-21	2.69	2.095	2.9057	2.5333	-7.0889
1960-03-22	0.21	2.122	2.8957	9.0722	-6.7333
1960-03-23	0	2.149	3.443	9.3167	-7.8389
1960-03-24	0	2.176	3.5525	14.5389	-4.4889
1960-03-25	0.06	2.203	3.7117	10.6444	-4.4778
1960-03-26	0.09	2.23	3.5227	15.5667	-1.4889
1960-03-27	0.02	2.257	3.6122	20.15	-3.1
1960-03-28	0.04	2.283	3.7416	21.4944	3.0389
1960-03-29	14.02	2.31	4.06	17.85	7.6333
1960-03-30	33.57	2.337	6.7965	19.1444	10.4667
1960-03-31	0.28	2.364	8.6574	16.7111	4.8833
1960-04-01	0.08	2.391	7.7021	20.9111	2.3389
1960-04-02	6.6	2.418	6.2791	17.7611	7.1056
1960-04-03	34.14	2.445	6.1597	16.0889	10.1722
1960-04-04	18.21	2.472	8.5181	16.5167	10.2444
1960-04-05	2.13	2.498	8.9758	12.0889	2.8389
1960-04-06	0.03	2.525	8.1101	17.7056	0.0556
1960-04-07	0.05	2.551	6.4681	20.8	6.4167
1960-04-08	0	2.578	4.8859	20.0333	2.6278
1960-04-09	0	2.604	4.2192	15.6944	3.6333
1960-04-10	0	2.63	3.8411	10.8111	-3.7556
1960-04-11	0	2.656	3.5625	17.0667	-5.8611
1960-04-12	0	2.682	3.3933	23.4389	1.4778
1960-04-13	0	2.708	3.254	26.2	4.5444
1960-04-14	0	2.734	3.1047	25.4778	5.3778
1960-04-15	0	2.759	3.0052	23.1944	6.4278
1960-04-16	0	2.785	2.9256	24.5778	7.2667
1960-04-17	0.05	2.81	2.836	25.2056	8.1889
1960-04-18	0.55	2.835	2.7763	19.5611	7.0167
1960-04-19	0.03	2.86	2.6569	19.6333	-0.2556
1960-04-20	0.05	2.885	2.5574	21.1556	4.2556
1960-04-21	7.17	2.909	2.5375	21.7778	7.7611
1960-04-22	0	2.934	2.647	26.0833	7.6667
1960-04-23	0	2.958	2.4678	28.5889	8.1278
1960-04-24	0	2.982	2.3783	28.6556	9.3278
1960-04-25	0.03	3.005	2.3285	29.1111	9.7111
1960-04-26	2.57	3.029	2.3086	28.0389	10.9833
1960-04-27	7	3.052	2.3186	21.2167	11.6
1960-04-28	2.22	3.075	2.428	18.7667	8.7389
1960-04-29	0.39	3.098	2.239	21.25	3.7611
1960-04-30	7.85	3.12	2.1494	17.6278	8.4944
1960-05-01	8.15	3.143	2.5574	18.3111	9.7833
1960-05-02	0	3.165	2.4181	18.3	1.5778
1960-05-03	0	3.186	2.1892	20.1333	4.4889
1960-05-04	0	3.208	2.1096	21.5056	3.7222
1960-05-05	0	3.229	2.04	19.9722	4.4556
1960-05-06	0.1	3.25	2.0002	20.1167	7.4611
1960-05-07	36.52	3.27	2.0101	17.4167	10.7444
1960-05-08	4.84	3.29	3.6918	13.8222	4.9944
1960-05-09	0.01	3.31	3.3535	16.5444	1.7278
1960-05-10	0	3.33	2.5574	17.5833	2.1
1960-05-11	0.03	3.349	2.3086	13.5556	3.6111
1960-05-12	3.64	3.368	2.1693	9.3944	4.1778
1960-05-13	0.05	3.387	2.1395	14.6111	-0.3111
1960-05-14	0.01	3.405	2.0599	21.0556	-0.1056
1960-05-15	0	3.423	1.9504	25.2444	4.8611
1960-05-16	0	3.441	1.8907	27.0389	7.9778
1960-05-17	0	3.458	1.821	29.5611	10.85
1960-05-18	0.4	3.475	1.7713	29.2389	13.2833
1960-05-19	0.14	3.492	1.7116	26.5389	13.3167
1960-05-20	1.48	3.508	1.6519	27.7889	12.9833
1960-05-21	0.05	3.523	1.5822	27.8389	13.6722
1960-05-22	0	3.539	1.5325	28.9944	8.7778
1960-05-23	0.07	3.554	1.4926	27.5444	9.1389
1960-05-24	3.09	3.569	1.4727	29.8556	10.3278
1960-05-25	3.34	3.583	1.4628	28.3944	12.2
1960-05-26	4.97	3.597	1.632	28.4889	11.6667
1960-05-27	14.68	3.61	1.6519	22.65	13.2722
1960-05-28	0.89	3.623	1.8111	23.4278	7.9556
1960-05-29	3.07	3.636	1.5723	25.2167	10.2333
1960-05-30	0.02	3.648	1.4926	27.3889	11.5444
1960-05-31	0	3.66	1.423	25.6111	10.8778
1960-06-01	0.04	3.671	1.3334	26.5167	9.1611
1960-06-02	2.27	3.682	1.2439	25.1556	11.0611
1960-06-03	6.28	3.693	1.2737	25.6	12.9
1960-06-04	3.44	3.703	1.4329	25.9111	15.1889
1960-06-05	14.16	3.713	1.7215	26.1167	15.1944
1960-06-06	4.47	3.722	1.8807	27.9667	13.7778
1960-06-07	1.68	3.731	1.7713	26.3889	13.7278
1960-06-08	6.03	3.739	1.5126	21.7944	14.7111
1960-06-09	0.02	3.747	1.632	23.85	12.5667
1960-06-10	0.01	3.755	1.4727	24.7111	10.1111
1960-06-11	0.03	3.762	1.3334	26.1944	11.6
1960-06-12	0.08	3.768	1.2936	28.8778	15.4667
1960-06-13	0.06	3.774	1.2041	28.8111	14.95
1960-06-14	1.44	3.78	1.1444	27.4833	15.4778
1960-06-15	0.01	3.785	1.1344	26.1389	12.8722
1960-06-16	0.64	3.79	1.0847	29.4611	10.3889
1960-06-17	0.46	3.795	1.0449	27.6056	15.1389
1960-06-18	0.03	3.798	0.9931	28.3111	13.5056
1960-06-19	0.7	3.802	0.9593	29.8278	13.6
1960-06-20	12.65	3.805	1.1046	29.8056	15.0389
1960-06-21	16.15	3.807	1.4031	26.9722	16.9
1960-06-22	7.72	3.809	1.6419	28.2444	15.3833
1960-06-23	13.76	3.811	1.7414	26.9389	16.1778
1960-06-24	10.95	3.812	1.8807	31	16.6722
1960-06-25	3.01	3.813	1.5424	27.1278	16.4222
1960-06-26	21.92	3.813	1.8111	22.2333	14.05
1960-06-27	0.15	3.813	2.1196	25.4833	14.4667
1960-06-28	1.71	3.812	1.7116	24.1833	14.2
1960-06-29	0.28	3.811	1.4926	28.4278	15.7
1960-06-30	0.37	3.809	1.3135	29.1778	15.0556
1960-07-01	5.32	3.807	1.224	29.5944	16.45
1960-07-02	3.88	3.804	1.3732	29.8944	17.9556
1960-07-03	0.89	3.801	1.1941	30.7222	16.3
1960-07-04	1.56	3.798	1.0847	28.5444	16.1944
1960-07-05	0.38	3.794	1.0747	27.6	16.5889
1960-07-06	4.39	3.789	1.1643	24.3444	16.8056
1960-07-07	2.63	3.785	1.1145	26.15	15.8444
1960-07-08	0.01	3.779	1.0747	26.1944	14.6611
1960-07-09	1.41	3.773	1.015	25.8	16.4
1960-07-10	21.38	3.767	1.1444	23.0944	16.5556
1960-07-11	5.69	3.76	1.5424	26.3722	16.3778
1960-07-12	0.01	3.753	1.3434	27.35	15.2556
1960-07-13	2.22	3.746	1.0747	29.0944	16.0167
1960-07-14	0.6	3.738	1.2737	27.3389	17.8278
1960-07-15	0.6	3.729	1.0051	26.7944	12.9667
1960-07-16	1.18	3.72	0.9364	26.2278	15.75
1960-07-17	1.57	3.711	0.9135	27.5222	14.0667
1960-07-18	0.33	3.701	0.9473	28.1556	15.3278
1960-07-19	3.27	3.691	0.8687	28.7778	15.4
1960-07-20	0.89	3.68	0.9364	28.9556	16.7722
1960-07-21	0.31	3.669	0.8468	29.35	14.7389
1960-07-22	3.29	3.658	0.8249	29.8556	16.2667
1960-07-23	11.33	3.646	0.9931	28.5	16.8111
1960-07-24	1.93	3.634	1.1941	28.8667	16.8333
1960-07-25	8.55	3.621	1.025	29.7389	17.1889
1960-07-26	4.66	3.608	1.0449	28.6056	18.2722
1960-07-27	4.11	3.594	1.1643	27.9278	17.8722
1960-07-28	3.82	3.58	1.1344	25.3	15.7389
1960-07-29	2.69	3.566	1.1046	25.4222	16.55
1960-07-30	0.8	3.551	1.0449	28.2333	13.7833
1960-07-31	0.62	3.536	0.9135	29.6	15.2056
1960-08-01	1.7	3.521	0.8578	29.8056	15.7
1960-08-02	2.6	3.505	0.8906	30.4056	16.4111
1960-08-03	2.96	3.489	0.9712	30.5	16.6
1960-08-04	3.42	3.472	0.9135	30.1889	18.0611
1960-08-05	3.99	3.455	0.9364	28.8056	17.6167
1960-08-06	5.06	3.438	0.9016	29.15	16.8
1960-08-07	10.51	3.42	1.1344	28.7	17.2611
1960-08-08	6.12	3.402	1.1643	29.0444	16.8389
