Date P PET Q
1948-01-01 0 0.97 2e-04
1948-01-02 0 0.983 4e-04
1948-01-03 0 0.993 6e-04
1948-01-04 0 1.003 2e-04
1948-01-05 0 1.014 2e-04
1948-01-06 0 1.026 2e-04
1948-01-07 0 1.039 2e-04
1948-01-08 0 1.053 2e-04
1948-01-09 0 1.068 2e-04
1948-01-10 0 1.083 2e-04
1948-01-11 0 1.1 2e-04
1948-01-12 0 1.117 2e-04
1948-01-13 0.03 1.136 2e-04
1948-01-14 0.08 1.155 2e-04
1948-01-15 0.45 1.175 2e-04
1948-01-16 0.46 1.196 2e-04
1948-01-17 0.11 1.218 2e-04
1948-01-18 0.03 1.241 4e-04
1948-01-19 1.15 1.265 4e-04
1948-01-20 0 1.289 4e-04
1948-01-21 0.03 1.314 4e-04
1948-01-22 3.46 1.34 4e-04
1948-01-23 0.95 1.367 4e-04
1948-01-24 2.01 1.395 9e-04
1948-01-25 1.67 1.424 9e-04
1948-01-26 0.94 1.453 6e-04
1948-01-27 1.74 1.483 7e-04
1948-01-28 3.38 1.514 0
1948-01-29 0.76 1.546 0
1948-01-30 0.18 1.579 9e-04
1948-01-31 0 1.612 9e-04
1948-02-01 0 1.646 9e-04
1948-02-02 0.02 1.681 9e-04
1948-02-03 0.3 1.716 0.0018
1948-02-04 5.73 1.753 9e-04
1948-02-05 12.99 1.79 9e-04
1948-02-06 0.1 1.827 9e-04
1948-02-07 0.74 1.866 9e-04
1948-02-08 1.2 1.905 9e-04
1948-02-09 0.15 1.944 9e-04
1948-02-10 0.02 1.985 9e-04
1948-02-11 3.43 2.025 9e-04
1948-02-12 0 2.067 9e-04
1948-02-13 0 2.109 9e-04
1948-02-14 0 2.152 9e-04
1948-02-15 0 2.195 9e-04
1948-02-16 0 2.239 9e-04
1948-02-17 0 2.284 9e-04
1948-02-18 0 2.329 9e-04
1948-02-19 0 2.375 9e-04
1948-02-20 0.06 2.421 7e-04
1948-02-21 0.02 2.467 6e-04
1948-02-22 0 2.514 4e-04
1948-02-23 0.19 2.562 4e-04
1948-02-24 1.56 2.61 2e-04
1948-02-25 6.25 2.659 0.0015
1948-02-26 5.41 2.708 0.0028
1948-02-27 0 2.757 0.0015
1948-02-28 0 2.807 4e-04
1948-02-29 0.8 2.857 4e-04
1948-03-01 9.6 2.908 4e-04
1948-03-02 0.89 2.959 4e-04
1948-03-03 10.58 3.01 4e-04
1948-03-04 2.61 3.062 4e-04
1948-03-05 0.02 3.114 4e-04
1948-03-06 0.05 3.166 4e-04
1948-03-07 0.61 3.218 4e-04
1948-03-08 0.62 3.271 4e-04
1948-03-09 1.75 3.324 4e-04
1948-03-10 0.5 3.378 4e-04
1948-03-11 0.06 3.431 4e-04
1948-03-12 0 3.485 4e-04
1948-03-13 0 3.539 4e-04
1948-03-14 0.1 3.593 4e-04
1948-03-15 0.11 3.647 4e-04
1948-03-16 0 3.702 9e-04
1948-03-17 0.23 3.756 7e-04
1948-03-18 0.26 3.811 7e-04
1948-03-19 0.04 3.866 6e-04
1948-03-20 0.22 3.921 0
1948-03-21 0.28 3.976 2e-04
1948-03-22 0.03 4.031 0
1948-03-23 0 4.086 0
1948-03-24 0 4.141 0
1948-03-25 0 4.196 0
1948-03-26 0 4.251 0
1948-03-27 0 4.306 0
1948-03-28 0.04 4.361 0
1948-03-29 0.05 4.416 0
1948-03-30 0.12 4.471 0
1948-03-31 0.51 4.526 0
1948-04-01 0 4.58 0
1948-04-02 0 4.635 0
1948-04-03 0 4.689 0
1948-04-04 0 4.743 0
1948-04-05 0 4.797 0
1948-04-06 0 4.851 0
1948-04-07 0 4.905 0
1948-04-08 0 4.958 0
1948-04-09 0 5.011 0
1948-04-10 0 5.064 0
1948-04-11 0.02 5.117 0
1948-04-12 0 5.169 0
1948-04-13 0 5.222 0
1948-04-14 0.04 5.273 0
1948-04-15 0.01 5.325 0
1948-04-16 0 5.376 0
1948-04-17 0 5.426 0
1948-04-18 0 5.477 0
1948-04-19 0.29 5.527 0
1948-04-20 0.35 5.576 0
1948-04-21 6.42 5.625 0
1948-04-22 4.7 5.674 0
1948-04-23 0.19 5.722 0
1948-04-24 0.08 5.77 0
1948-04-25 0 5.817 0
1948-04-26 0 5.864 0
1948-04-27 0 5.911 0
1948-04-28 0 5.956 0
1948-04-29 0 6.002 0
1948-04-30 0 6.046 0
1948-05-01 0 6.09 0
1948-05-02 0.04 6.134 0
1948-05-03 0.13 6.177 0
1948-05-04 0.1 6.219 0
1948-05-05 0 6.261 0
1948-05-06 0 6.302 0
1948-05-07 0 6.343 0
1948-05-08 0 6.383 0
1948-05-09 0.7 6.422 0
1948-05-10 10.84 6.461 0
1948-05-11 5.88 6.498 0
1948-05-12 3.48 6.536 0.0022
1948-05-13 0.02 6.572 0
1948-05-14 0.06 6.608 0
1948-05-15 0.01 6.643 0
1948-05-16 0.08 6.677 0
1948-05-17 0.57 6.711 0
1948-05-18 0.93 6.744 0
1948-05-19 0.71 6.776 0
1948-05-20 0.91 6.807 0
1948-05-21 0.05 6.837 0
1948-05-22 1.73 6.867 0
1948-05-23 3.04 6.896 0
1948-05-24 14.96 6.924 0
1948-05-25 18.04 6.951 0.0143
1948-05-26 1.31 6.978 6e-04
1948-05-27 0.68 7.003 6e-04
1948-05-28 1.01 7.028 6e-04
1948-05-29 0.04 7.052 0.0276
1948-05-30 0.46 7.075 0.0086
1948-05-31 5.23 7.097 0.0018
1948-06-01 7.99 7.119 0.0077
1948-06-02 7.52 7.139 0.0018
1948-06-03 0.18 7.159 0.0015
1948-06-04 0.02 7.177 0.0031
1948-06-05 0.21 7.195 0.0042
1948-06-06 0.16 7.212 9e-04
1948-06-07 1.08 7.228 9e-04
1948-06-08 1.01 7.243 9e-04
1948-06-09 2.75 7.257 9e-04
1948-06-10 2.83 7.271 9e-04
1948-06-11 5.99 7.283 9e-04
1948-06-12 0.7 7.295 9e-04
1948-06-13 0.2 7.305 0.0037
1948-06-14 0.17 7.315 9e-04
1948-06-15 0.02 7.323 9e-04
1948-06-16 0.65 7.331 9e-04
1948-06-17 0.06 7.338 9e-04
1948-06-18 10.04 7.344 9e-04
1948-06-19 6.66 7.348 0.0202
1948-06-20 0 7.352 0.0018
1948-06-21 0.05 7.355 0
