Date P PET Q
1948-01-01 4.85 0.62 0.5655
1948-01-02 1.99 0.629 0.6808
1948-01-03 0 0.632 0.8237
1948-01-04 0.45 0.635 0.922
1948-01-05 0.56 0.639 0.9712
1948-01-06 0.34 0.644 0.9712
1948-01-07 0 0.649 0.8483
1948-01-08 0 0.655 0.7269
1948-01-09 0 0.661 0.6808
1948-01-10 0 0.668 0.6577
1948-01-11 0.14 0.676 0.6347
1948-01-12 36.31 0.684 0.5655
1948-01-13 11.74 0.692 0.9927
1948-01-14 0 0.702 1.8287
1948-01-15 0 0.711 2.3359
1948-01-16 0.71 0.722 2.551
1948-01-17 0 0.733 2.9198
1948-01-18 0.43 0.744 3.473
1948-01-19 0.14 0.756 3.6267
1948-01-20 11.2 0.769 2.9198
1948-01-21 3.74 0.782 2.0592
1948-01-22 0.45 0.795 1.7365
1948-01-23 13.02 0.809 1.7365
1948-01-24 2.73 0.824 1.5367
1948-01-25 0 0.839 1.0757
1948-01-26 0 0.855 0.7684
1948-01-27 0.71 0.872 0.6915
1948-01-28 0 0.888 0.6608
1948-01-29 0 0.906 0.6608
1948-01-30 0 0.923 0.6608
1948-01-31 1.14 0.942 0.6608
1948-02-01 0.42 0.961 0.6915
1948-02-02 0 0.98 0.7684
1948-02-03 0.74 1 0.8606
1948-02-04 2.67 1.02 0.922
1948-02-05 2 1.041 0.9835
1948-02-06 2.35 1.062 1.0143
1948-02-07 0 1.084 1.0143
1948-02-08 0 1.106 1.0143
1948-02-09 0 1.128 0.9835
1948-02-10 0.99 1.151 0.922
1948-02-11 2.11 1.175 0.8913
1948-02-12 3.23 1.199 0.922
1948-02-13 6.5 1.223 1.045
1948-02-14 4.25 1.248 1.3523
1948-02-15 0 1.273 1.629
1948-02-16 0 1.298 1.798
1948-02-17 0 1.324 1.9056
1948-02-18 0 1.351 2.1053
1948-02-19 0.28 1.377 2.3359
1948-02-20 0.42 1.404 2.5049
1948-02-21 12.34 1.432 2.0592
1948-02-22 0.81 1.46 1.4445
1948-02-23 0 1.488 1.1833
1948-02-24 0.53 1.516 1.128
1948-02-25 0.11 1.545 1.1556
1948-02-26 0 1.574 1.2663
1948-02-27 0 1.603 1.4138
1948-02-28 0 1.633 1.5367
1948-02-29 0 1.663 1.5367
1948-03-01 15.07 1.693 1.506
1948-03-02 1.66 1.724 1.3831
1948-03-03 0.86 1.755 1.4445
1948-03-04 3.34 1.786 1.5367
1948-03-05 0 1.817 1.5982
1948-03-06 18.32 1.848 1.5367
1948-03-07 6.98 1.88 1.5675
1948-03-08 0.15 1.912 1.8748
1948-03-09 7.51 1.944 2.0592
1948-03-10 2.61 1.977 2.2898
1948-03-11 0 2.009 2.6125
1948-03-12 0 2.042 2.8583
1948-03-13 0 2.075 2.9198
1948-03-14 0 2.108 2.6739
1948-03-15 0 2.141 2.1975
1948-03-16 5.63 2.175 1.7365
1948-03-17 1.88 2.208 1.5367
1948-03-18 2.91 2.242 1.506
1948-03-19 0.77 2.276 1.506
1948-03-20 0.13 2.31 1.4445
1948-03-21 0 2.344 1.2939
1948-03-22 7.82 2.378 1.1833
1948-03-23 14.6 2.412 1.1556
1948-03-24 3.87 2.446 1.3831
1948-03-25 0 2.48 1.798
1948-03-26 8.56 2.515 2.0285
1948-03-27 1.92 2.549 2.1514
1948-03-28 0 2.583 2.3359
1948-03-29 0 2.618 2.3973
1948-03-30 0.72 2.652 2.1975
1948-03-31 21.7 2.686 2.0592
1948-04-01 18.92 2.721 2.0285
1948-04-02 0.63 2.755 1.9824
1948-04-03 0 2.789 1.9824
1948-04-04 0 2.823 2.2437
