Date P PET Q
1948-01-01 0 0.79 0.4604
1948-01-02 0 0.799 0.7874
1948-01-03 0.45 0.802 0.6669
1948-01-04 0.22 0.806 0.5335
1948-01-05 0 0.81 0.4991
1948-01-06 0 0.815 0.4733
1948-01-07 0 0.82 0.4604
1948-01-08 0 0.825 0.4389
1948-01-09 0 0.832 0.4389
1948-01-10 0 0.838 0.4346
1948-01-11 2.24 0.845 0.4001
1948-01-12 29.56 0.853 0.3958
1948-01-13 9.85 0.861 8.2608
1948-01-14 0 0.87 8.7771
1948-01-15 0 0.879 1.9189
1948-01-16 0 0.888 1.0584
1948-01-17 0 0.898 0.9552
1948-01-18 0 0.909 0.8089
1948-01-19 0 0.92 0.654
1948-01-20 15.9 0.931 0.6669
1948-01-21 0 0.943 0.8648
1948-01-22 0.45 0.955 1.0326
1948-01-23 16.13 0.968 0.8089
1948-01-24 5.6 0.982 0.7486
1948-01-25 0 0.995 0.7314
1948-01-26 2.24 1.009 0.7745
1948-01-27 1.79 1.024 0.7745
1948-01-28 0 1.039 0.6884
1948-01-29 0 1.055 0.6454
1948-01-30 2.91 1.071 0.6024
1948-01-31 29.12 1.087 0.6024
1948-02-01 2.17 1.104 0.5808
1948-02-02 0 1.121 0.7486
1948-02-03 0 1.138 0.8433
1948-02-04 2.17 1.156 0.8433
1948-02-05 7.48 1.175 1.0756
1948-02-06 0.24 1.194 1.1187
1948-02-07 0 1.213 1.1187
1948-02-08 0 1.232 1.1187
1948-02-09 2.65 1.252 1.0756
1948-02-10 1.69 1.273 0.9724
1948-02-11 2.65 1.293 0.9466
1948-02-12 5.79 1.314 1.0068
1948-02-13 8.93 1.336 3.9239
1948-02-14 2.17 1.357 13.5959
1948-02-15 0 1.38 13.8541
1948-02-16 0 1.402 3.7905
1948-02-17 0 1.425 3.356
1948-02-18 0 1.448 3.1279
1948-02-19 0 1.471 1.9921
1948-02-20 0 1.495 1.4456
1948-02-21 14.72 1.519 1.1273
1948-02-22 0.72 1.543 1.0498
1948-02-23 0 1.567 0.9939
1948-02-24 0.72 1.592 0.9939
1948-02-25 0.24 1.617 1.1617
1948-02-26 0 1.643 1.6608
1948-02-27 0 1.668 1.2477
1948-02-28 0 1.694 1.0369
1948-02-29 0 1.72 0.9207
1948-03-01 9.85 1.747 0.8046
1948-03-02 16.5 1.773 1.2348
1948-03-03 0 1.8 2.1857
1948-03-04 0 1.827 1.2778
1948-03-05 0 1.854 1.0111
1948-03-06 22.42 1.882 0.8949
1948-03-07 1.72 1.909 4.5176
1948-03-08 0.25 1.937 4.4316
1948-03-09 4.68 1.965 1.7855
1948-03-10 1.23 1.993 1.6091
1948-03-11 0.74 2.021 1.351
1948-03-12 0.25 2.049 1.1187
1948-03-13 0 2.078 0.981
1948-03-14 0 2.107 0.9035
1948-03-15 0 2.135 0.8734
1948-03-16 13.79 2.164 0.9638
1948-03-17 3.2 2.193 1.8458
1948-03-18 1.48 2.222 1.2563
1948-03-19 4.19 2.251 1.0369
1948-03-20 0.74 2.281 0.981
1948-03-21 0 2.31 0.9509
1948-03-22 2.71 2.339 0.8691
1948-03-23 16.26 2.369 2.9773
1948-03-24 14.04 2.398 7.0991
1948-03-25 0 2.427 3.485
1948-03-26 11.58 2.457 1.7167
1948-03-27 9.36 2.487 3.2742
1948-03-28 0 2.516 4.5176
1948-03-29 0 2.546 1.9189
1948-03-30 4.19 2.575 1.4198
1948-03-31 17 2.605 1.3639
1948-04-01 13.2 2.634 19.3613
1948-04-02 0 2.663 15.1018
1948-04-03 0 2.693 2.7751
1948-04-04 0 2.722 1.8458
1948-04-05 0.52 2.751 1.4801
1948-04-06 21.23 2.781 1.3209
1948-04-07 20.97 2.81 5.7223
1948-04-08 1.81 2.839 6.2386
1948-04-09 0 2.868 6.6689
1948-04-10 3.88 2.896 1.8157
1948-04-11 8.8 2.925 1.5188
1948-04-12 8.8 2.954 1.6479
1948-04-13 7.77 2.982 4.0616
1948-04-14 13.98 3.011 2.1426
1948-04-15 1.04 3.039 2.7751
1948-04-16 0 3.067 1.9189
1948-04-17 0 3.095 1.5188
1948-04-18 0 3.122 1.2477
1948-04-19 0 3.15 1.1445
1948-04-20 0 3.177 1.0928
1948-04-21 0 3.204 1.0455
1948-04-22 0 3.231 0.981
1948-04-23 0 3.258 0.9422
1948-04-24 0 3.284 0.9207
1948-04-25 0 3.31 0.9035
1948-04-26 0.26 3.336 0.8605
1948-04-27 13.2 3.362 0.882
1948-04-28 2.07 3.388 1.5403
1948-04-29 0 3.413 1.3424
1948-04-30 0 3.438 1.0498
1948-05-01 0 3.463 0.9422
1948-05-02 0 3.487 1.0498
1948-05-03 7.63 3.511 1.1187
1948-05-04 4.47 3.535 0.9552
1948-05-05 3.42 3.559 2.8569
1948-05-06 4.47 3.582 1.4715
1948-05-07 2.37 3.605 1.8458
1948-05-08 0 3.627 1.5317
1948-05-09 0 3.65 1.0756
1948-05-10 0 3.672 0.9422
1948-05-11 0 3.693 0.8519
1948-05-12 9.47 3.715 0.8046
1948-05-13 4.73 3.735 2.8569
1948-05-14 0.26 3.756 2.2201
1948-05-15 1.84 3.776 1.2176
1948-05-16 2.1 3.796 0.981
1948-05-17 2.37 3.815 1.5317
1948-05-18 2.89 3.834 1.0455
1948-05-19 0 3.853 0.8476
1948-05-20 0 3.871 0.7701
1948-05-21 0 3.889 0.7443
1948-05-22 0 3.907 0.7228
1948-05-23 5.26 3.924 0.654
1948-05-24 8.68 3.94 0.654
1948-05-25 32.62 3.956 0.6626
1948-05-26 13.15 3.972 1.0412
1948-05-27 23.67 3.987 1.2994
1948-05-28 8.15 4.002 0.9207
1948-05-29 2.1 4.017 0.8046
1948-05-30 2.63 4.031 1.2434
1948-05-31 1.05 4.044 1.0842
1948-06-01 0 4.058 0.839
1948-06-02 2.25 4.07 0.7228
1948-06-03 1 4.082 0.6583
1948-06-04 0.5 4.094 0.6454
1948-06-05 0 4.105 0.6282
1948-06-06 11.26 4.116 0.6067
1948-06-07 17.52 4.126 0.7099
1948-06-08 0.5 4.136 0.7314
1948-06-09 0 4.146 0.6196
1948-06-10 0 4.155 0.5593
1948-06-11 0 4.163 0.5335
1948-06-12 7.26 4.171 0.5206
1948-06-13 1 4.178 0.5077
1948-06-14 0 4.185 0.5679
1948-06-15 5.51 4.192 0.5335
1948-06-16 11.26 4.198 0.6024
1948-06-17 0 4.203 0.697
1948-06-18 2.5 4.208 0.5593
1948-06-19 0 4.212 0.5507
1948-06-20 0 4.216 0.5163
1948-06-21 0 4.22 0.4604
1948-06-22 10.26 4.223 0.4432
1948-06-23 42.56 4.225 4.5176
1948-06-24 2.25 4.227 1.1574
1948-06-25 0 4.229 0.8734
1948-06-26 1.25 4.23 0.6325
1948-06-27 3 4.23 0.882
1948-06-28 0 4.23 0.6067
1948-06-29 3.25 4.229 0.512
1948-06-30 2 4.228 0.5851
1948-07-01 0 4.227 2.6202
1948-07-02 0 4.224 0.8648
1948-07-03 0 4.222 0.5808
1948-07-04 0 4.219 0.4948
1948-07-05 0 4.215 0.4604
1948-07-06 0 4.211 0.4647
1948-07-07 14.89 4.206 0.4259
1948-07-08 15.88 4.201 0.3958
1948-07-09 0 4.195 0.37
1948-07-10 0 4.189 0.3571
1948-07-11 0 4.183 0.3528
1948-07-12 0 4.176 0.3614
1948-07-13 22.58 4.168 0.3915
1948-07-14 10.67 4.16 0.3829
1948-07-15 1.49 4.151 2.0781
1948-07-16 0 4.142 0.7788
1948-07-17 0 4.133 0.6884
1948-07-18 1.24 4.123 0.654
1948-07-19 2.98 4.112 0.4475
1948-07-20 9.18 4.101 0.4389
1948-07-21 5.95 4.09 0.4518
1948-07-22 8.44 4.078 0.4733
1948-07-23 10.17 4.065 2.1513
1948-07-24 0 4.053 0.5464
1948-07-25 0 4.039 0.4216
1948-07-26 3.47 4.026 0.37
1948-07-27 0.99 4.011 0.3614
1948-07-28 0 3.997 0.4432
1948-07-29 0 3.982 0.4389
1948-07-30 0 3.966 0.3786
1948-07-31 0 3.95 0.3399
1948-08-01 17.48 3.934 0.3958
1948-08-02 5.87 3.917 0.7572
1948-08-03 38.55 3.9 0.5464
1948-08-04 65.02 3.882 14.8867
1948-08-05 0.02 3.864 17.7263
1948-08-06 0 3.846 2.9601
1948-08-07 0 3.827 0.9379
1948-08-08 0.35 3.808 0.7357
1948-08-09 1.13 3.789 0.6325
1948-08-10 7.37 3.769 0.5765
1948-08-11 0.46 3.748 0.6196
1948-08-12 15.89 3.728 0.9164
1948-08-13 0.57 3.707 1.7339
1948-08-14 0.65 3.685 0.7013
1948-08-15 0 3.663 0.5765
1948-08-16 0 3.641 0.512
1948-08-17 0.08 3.619 0.4733
1948-08-18 3.66 3.596 0.4604
1948-08-19 3.03 3.573 0.4733
1948-08-20 6.05 3.55 0.4647
1948-08-21 6.98 3.526 0.4604
1948-08-22 1.23 3.502 1.2133
1948-08-23 0 3.478 0.5507
1948-08-24 0 3.453 0.4776
1948-08-25 0 3.429 0.4432
1948-08-26 0 3.404 0.4259
1948-08-27 0 3.378 0.4044
1948-08-28 0.09 3.353 0.3829
1948-08-29 0.8 3.327 0.3657
1948-08-30 0.79 3.301 0.3485
1948-08-31 0.28 3.274 0.3399
1948-09-01 0 3.248 0.3356
1948-09-02 0 3.221 0.3313
1948-09-03 0 3.194 0.3184
1948-09-04 0.45 3.167 0.3141
1948-09-05 2.04 3.139 0.3055
1948-09-06 1.08 3.112 0.3184
1948-09-07 4.07 3.084 0.3399
1948-09-08 1.53 3.056 0.4518
1948-09-09 12.49 3.028 0.4303
1948-09-10 4.89 3 0.3872
1948-09-11 0 2.971 0.4432
1948-09-12 0 2.943 0.3915
1948-09-13 0 2.914 0.3356
1948-09-14 0.01 2.886 0.3141
1948-09-15 0 2.857 0.3055
1948-09-16 0 2.828 0.2883
1948-09-17 0 2.799 0.2797
1948-09-18 0 2.77 0.2754
1948-09-19 0.04 2.74 0.2711
1948-09-20 0.6 2.711 0.2754
1948-09-21 3.54 2.682 0.2797
1948-09-22 0.02 2.652 0.2969
1948-09-23 0 2.623 0.2883
1948-09-24 0 2.593 0.2754
1948-09-25 0 2.564 0.2754
1948-09-26 0 2.534 0.2711
1948-09-27 0.02 2.505 0.2582
